Name, County, ClimateDivision, Longitude, Latitude, Elevation, MeanAvgTemperature, TotalPrecipitation
IMPERIAL, Imperial, CA07, -115.567, 32.849, -64, 91.3, 1.43
EL CAPITAN DAM, San Diego, CA06, -116.815, 32.886, 600, 78.5, 0.21
LAKESIDE 2 E, San Diego, CA06, -116.895, 32.854, 690, M, 0.30
POWAY VALLEY, San Diego, CA06, -117.031, 33.020, 648, 76.0, 0.13
JULIAN CDF, San Diego, CA06, -116.592, 33.076, 4215, 72.3, 1.83
CARLSBAD MCCLELLAN PALOMAR AP, San Diego, CA06, -117.277, 33.130, 313, 71.8, 0.32
HENSHAW DAM, San Diego, CA06, -116.761, 33.237, 2700, 72.6, 0.78
VISTA, San Diego, CA06, -117.232, 33.235, 430, 72.9, 0.18
OCEANSIDE MARINA, San Diego, CA06, -117.395, 33.210, 10, 70.3, 0.09
NILAND, Imperial, CA07, -115.524, 33.278, -60, M, 0.29
BORREGO DESERT PARK, San Diego, CA07, -116.404, 33.256, 810, 88.9, 0.32
PALOMAR MTN OBSERVATORY, San Diego, CA06, -116.840, 33.378, 5550, 70.9, 1.55
MECCA FIRE STATION, Riverside, CA07, -116.073, 33.570, -183, 91.1, 0.21
LAGUNA BEACH, Orange, CA06, -117.781, 33.545, 44, M, 0.02
BLYTHE ASOS, Riverside, CA07, -114.715, 33.619, 395, 91.6, 0.57
DESERT RESORTS REGIONAL AP, Riverside, CA07, -116.164, 33.632, -118, 89.8, 0.32
BARSTOW-DAGGETT AIRPORT, San Bernardino, CA07, -116.787, 34.854, 1919, 86.5, 0.76
MERCED, Merced, CA05, -120.516, 37.289, 154, 78.6, 0.00
SAN DIEGO MONTGOMERY FIELD, San Diego, CA06, -117.137, 32.815, 418, 75.0, 0.08
SAN DIEGO INTERNATIONAL AP, San Diego, CA06, -117.183, 32.734, 15, 73.8, 0.08
SAN DIEGO MIRAMAR NAS, San Diego, CA06, -117.133, 32.867, 477, 73.6, 0.13
NORTH ISLAND NAS, San Diego, CA06, -117.210, 32.692, 14, 73.0, 0.03
SAN FRANCISCO INTERNATIONAL AP, San Mateo, CA04, -122.366, 37.620, 10, 67.0, T
SAN LUIS OBISPO MCCHESNEY FIELD, San Luis Obispo, CA04, -120.644, 35.238, 183, 68.6, 0.00
CEDARVILLE, Modoc, CA03, -120.179, 41.530, 4688, 69.8, 0.54
CHICO UNIVERSITY FARM, Butte, CA02, -121.821, 39.691, 185, 76.9, 0.42
CHULA VISTA, San Diego, CA06, -117.086, 32.640, 56, 73.8, 0.05
COLFAX, Placer, CA02, -120.947, 39.090, 2373, 77.5, 0.15
CUYAMACA, San Diego, CA06, -116.587, 32.990, 4640, 68.5, 0.45
DAVIS 2 WSW EXP FARM, Yolo, CA02, -121.776, 38.535, 60, 74.5, 0.00
