Name, County, ClimateDivision, Longitude, Latitude, Elevation, MeanAvgTemperature, TotalPrecipitation
CULVER CITY, Los Angeles, CA06, -118.414, 34.005, 92, 57.9, 2.17
SANTA MONICA MUNICIPAL AP, Los Angeles, CA06, -118.447, 34.021, 175, 59.0, 1.59
SANTA MONICA PIER, Los Angeles, CA06, -118.500, 34.008, 14, 58.4, 1.50
ONTARIO INTL AP, San Bernardino, CA06, -117.577, 34.053, 924, 55.8, 0.85
POMONA/FAIRPLEX, Los Angeles, CA06, -117.766, 34.082, 999, 51.8, 1.07
COVINA CITY YARD FC387B, Los Angeles, CA06, -117.880, 34.092, 607, M, 1.54
U C L A, Los Angeles, CA06, -118.443, 34.070, 430, 59.7, 2.78
TOPANGA PATROL FC-6, Los Angeles, CA06, -118.599, 34.084, 745, M, 4.18
IRON MOUNTAIN, San Bernardino, CA07, -115.122, 34.147, 922, 56.4, 0.00
TWENTYNINE PALMS, San Bernardino, CA07, -116.037, 34.128, 1975, 52.3, 0.01
SAN DIMAS FIRE FC 95, Los Angeles, CA06, -117.802, 34.105, 958, M, 2.00
GLENDORA FC 287B, Los Angeles, CA06, -117.847, 34.147, 933, M, 2.51
SAN GABRIEL FIRE DEPT, Los Angeles, CA06, -118.100, 34.084, 363, 57.5, 1.72
POINT MUGU NF, Ventura, CA06, -119.123, 34.124, 12, 55.1, 0.95
ALTADENA, Los Angeles, CA06, -118.138, 34.182, 1127, M, 4.66
SAN GABRIEL CANYON PH, Los Angeles, CA06, -117.908, 34.155, 744, M, 2.43
WOODLAND HILLS PIERCE COLLEGE, Los Angeles, CA06, -118.574, 34.182, 790, 55.9, 2.96
LYTLE CREEK R S, San Bernardino, CA06, -117.471, 34.238, 2730, M, 2.16
DEEP CANYON LAB, Riverside, CA07, -116.376, 33.651, 1200, M, 0.07
ELSINORE, Riverside, CA06, -117.346, 33.686, 1268, 51.1, 0.00
SANTA ANA JOHN WAYNE AP, Orange, CA06, -117.867, 33.680, 43, 58.1, 0.62
HAYFIELD PUMPING PLANT, Riverside, CA07, -115.629, 33.704, 1370, 52.2, 0.02
SUN CITY, Riverside, CA06, -117.190, 33.716, 1420, M, 0.00
IDYLLWILD FIRE DEPT, Riverside, CA06, -116.707, 33.757, 5380, 42.8, 3.21
SAN JACINTO, Riverside, CA06, -116.975, 33.797, 1525, 54.2, T
HEMET, Riverside, CA06, -116.894, 33.738, 1811, 53.6, 1.13
SANTA ANA FIRE STATION, Orange, CA06, -117.867, 33.744, 135, 59.0, 0.64
EAGLE MOUNTAIN, Riverside, CA07, -115.451, 33.809, 973, 55.4, 0.00
PALM SPRINGS, Riverside, CA07, -116.510, 33.828, 425, 59.0, 0.15
LONG BEACH DAUGHERTY AP, Los Angeles, CA06, -118.147, 33.812, 34, 57.2, 0.86
PALOS VERDES ES FC43D, Los Angeles, CA06, -118.391, 33.800, 220, M, 2.30
SNOW CREEK UPPER, Riverside, CA07, -116.680, 33.873, 1940, M, 0.00
FULLERTON MUNICIPAL AP, Orange, CA06, -117.986, 33.872, 86, 57.4, 0.95
BEAUMONT #2, Riverside, CA07, -116.990, 33.926, 2591, 52.6, 0.17
YORBA LINDA, Orange, CA06, -117.819, 33.890, 350, 57.4, 0.00
HAWTHORNE MUNICIPAL AP, Los Angeles, CA06, -118.333, 33.924, 55, 58.6, 1.27
LOS ANGELES INTL AP, Los Angeles, CA06, -118.387, 33.938, 97, 58.1, 1.42
RIVERSIDE FIRE STATION 3, Riverside, CA06, -117.388, 33.951, 840, 55.3, 0.02
RIVERSIDE MUNICIPAL AP, Riverside, CA06, -117.435, 33.953, 845, 54.2, 0.36
CHINO AP, San Bernardino, CA06, -117.625, 33.976, 636, 53.9, 0.95
WHITTIER CITY YARD FC106C, Los Angeles, CA06, -118.022, 33.976, 446, M, 1.17
RIVERSIDE CITRUS EXP, Riverside, CA06, -117.361, 33.967, 986, 57.0, 0.25
MONTEBELLO, Los Angeles, CA06, -118.105, 34.019, 246, 59.6, 0.00
BRADLEY TELEMETERING, Monterey, CA04, -120.868, 35.930, 443, M, 2.84
PORTERVILLE MUNICIPAL AIRPORT, Tulare, CA05, -119.062, 36.029, 442, 48.9, 2.23
KETTLEMAN CITY, Kings, CA05, -119.960, 36.007, 240, 47.0, 3.52
HAIWEE, Inyo, CA07, -117.953, 36.139, 3825, 43.3, 1.65
CORCORAN IRRIGATION DIST., Kings, CA05, -119.582, 36.098, 200, 48.4, 3.23
COALINGA, Fresno, CA05, -120.361, 36.136, 670, 49.6, 3.08
KING CITY, Monterey, CA04, -121.138, 36.207, 320, 50.1, 2.91
LINDSAY, Tulare, CA05, -119.054, 36.203, 435, 48.1, 2.49
ARROYO SECO RIVER, Monterey, CA04, -121.481, 36.238, 805, M, 2.48
BIG SUR STATION, Monterey, CA04, -121.780, 36.247, 200, 50.6, 3.32
VISALIA, Tulare, CA05, -119.300, 36.328, 303, 48.7, 4.16
FIVE POINTS 5 SSW, Fresno, CA05, -120.156, 36.364, 285, 47.8, 3.27
SAN CLEMENTE DAM, Monterey, CA04, -121.709, 36.438, 600, M, 4.11
ASH MOUNTAIN, Tulare, CA05, -118.825, 36.491, 1708, 48.5, 9.10
THREE RIVERS EDISON PH 1, Tulare, CA05, -118.862, 36.465, 1140, 47.0, 6.69
PINNACLES NATIONAL PARK, San Benito, CA04, -121.182, 36.482, 1307, 44.9, 3.56
CARMEL VALLEY, Monterey, CA04, -121.724, 36.481, 480, 50.9, 3.12
LODGEPOLE, Tulare, CA05, -118.732, 36.604, 6735, 27.8, 12.73
MONTEREY, Monterey, CA04, -121.855, 36.593, 122, 51.6, 3.65
SALINAS NO. 2, Monterey, CA04, -121.666, 36.659, 45, 52.2, 3.02
SALINAS AP, Monterey, CA04, -121.609, 36.664, 73, 51.1, 1.97
GRANT GROVE, Tulare, CA05, -118.962, 36.738, 6580, 34.6, 13.91
PAICINES 4 W, San Benito, CA04, -121.349, 36.715, 905, 44.9, 3.89
PINE FLAT DAM, Fresno, CA05, -119.337, 36.821, 615, M, 5.05
LOS BANOS ARBURUA RANCH, Merced, CA05, -120.939, 36.875, 843, M, 2.38
HOLLISTER 2, San Benito, CA04, -121.421, 36.848, 275, 48.9, 4.27
CHITTENDEN PASS, Santa Cruz, CA04, -121.597, 36.900, 82, M, 0.56
BALCH POWER HOUSE, Fresno, CA05, -119.088, 36.909, 1735, 45.4, 5.39
WATSONVILLE WATERWORKS, Santa Cruz, CA04, -121.769, 36.931, 95, 50.6, 5.51
FRIANT GOVERNMENT CAMP, Fresno, CA05, -119.707, 36.997, 410, 48.9, 4.43
MADERA, Madera, CA05, -120.038, 36.954, 270, 47.4, 3.10
WISHON DAM, Fresno, CA05, -118.984, 37.007, 6550, 36.3, 14.92
LOS BANOS DET RESV, Merced, CA05, -120.930, 36.990, 407, 49.1, 2.46
GILROY, Santa Clara, CA04, -121.561, 37.003, 194, 51.3, 3.79
BARSTOW-DAGGETT AIRPORT, San Bernardino, CA07, -116.787, 34.854, 1919, 49.9, 0.05
MERCED, Merced, CA05, -120.516, 37.289, 154, 47.6, 3.03
SAN DIEGO MONTGOMERY FIELD, San Diego, CA06, -117.137, 32.815, 418, 55.7, 0.64
SAN DIEGO INTERNATIONAL AP, San Diego, CA06, -117.183, 32.734, 15, 57.0, 0.36
SAN DIEGO MIRAMAR NAS, San Diego, CA06, -117.133, 32.867, 477, 54.8, 0.95
NORTH ISLAND NAS, San Diego, CA06, -117.210, 32.692, 14, 55.9, 0.01
SAN FRANCISCO INTERNATIONAL AP, San Mateo, CA04, -122.366, 37.620, 10, 51.6, 2.45
SAN LUIS OBISPO MCCHESNEY FIELD, San Luis Obispo, CA04, -120.644, 35.238, 183, 52.9, 5.69
BRAWLEY 2 SW, Imperial, CA07, -115.558, 32.954, -100, 57.0, 0.00
CEDARVILLE, Modoc, CA03, -120.179, 41.530, 4688, 34.5, 1.95
CHICO UNIVERSITY FARM, Butte, CA02, -121.821, 39.691, 185, 49.3, 1.23
CHULA VISTA, San Diego, CA06, -117.086, 32.640, 56, 55.3, 0.00
COLFAX, Placer, CA02, -120.947, 39.090, 2373, 42.9, 6.45
CUYAMACA, San Diego, CA06, -116.587, 32.990, 4640, 42.5, 2.10
DAVIS 2 WSW EXP FARM, Yolo, CA02, -121.776, 38.535, 60, 49.1, 2.59
DEATH VALLEY NATIONAL PARK, Inyo, CA07, -116.867, 36.463, -194, 55.3, 0.06
FAIRMONT, Los Angeles, CA07, -118.430, 34.705, 3060, 45.5, 4.17
FORT BRAGG 5 N, Mendocino, CA01, -123.756, 39.510, 123, 47.5, 9.36
HANFORD 1 S, Kings, CA05, -119.637, 36.316, 237, 45.8, 3.54
HAPPY CAMP RANGER STATION, Siskiyou, CA01, -123.375, 41.796, 1142, 43.0, 6.90
HEALDSBURG, Sonoma, CA01, -122.866, 38.629, 177, 50.2, 7.66
INDIO FIRE STATION, Riverside, CA07, -116.215, 33.709, -21, 58.7, T
LEMON COVE, Tulare, CA05, -119.026, 36.382, 513, 48.8, 4.81
LIVERMORE, Alameda, CA04, -121.751, 37.682, 529, 50.0, 2.22
LODI, San Joaquin, CA05, -121.288, 38.106, 40, 49.3, 3.55
MARYSVILLE, Yuba, CA02, -121.585, 39.146, 57, 50.3, 1.78
MERCED MUNICIPAL AP, Merced, CA05, -120.518, 37.286, 152, 47.0, 0.99
NAPA STATE HOSPITAL, Napa, CA01, -122.265, 38.278, 35, 50.5, 4.69
OJAI, Ventura, CA06, -119.227, 34.448, 745, 50.1, 5.48
ORLAND, Glenn, CA02, -122.200, 39.746, 254, 48.8, 3.22
ORLEANS, Humboldt, CA01, -123.532, 41.309, 403, 44.1, 15.09
PASADENA, Los Angeles, CA06, -118.145, 34.148, 864, 58.0, 3.67
PASO ROBLES, San Luis Obispo, CA04, -120.685, 35.628, 730, 47.2, 5.78
PETALUMA AIRPORT, Sonoma, CA01, -122.608, 38.258, 20, 49.3, 4.37
QUINCY, Plumas, CA02, -120.947, 39.937, 3420, 37.9, 7.00
REDLANDS, San Bernardino, CA06, -117.195, 34.037, 1410, 54.3, 1.05
SANTA BARBARA, Santa Barbara, CA06, -119.684, 34.417, 16, 56.5, 2.01
SANTA CRUZ, Santa Cruz, CA04, -122.000, 36.988, 70, 50.8, 6.37
SANTA ROSA, Sonoma, CA01, -122.713, 38.456, 166, 49.8, 5.36
TAHOE CITY, Placer, CA03, -120.143, 39.168, 6230, 30.5, 7.33
UKIAH, Mendocino, CA01, -123.210, 39.147, 636, 47.5, 7.37
VACAVILLE, Solano, CA02, -121.961, 38.396, 110, 49.9, 3.50
WASCO, Kern, CA05, -119.352, 35.589, 291, 46.4, 1.70
WEAVERVILLE, Trinity, CA01, -122.940, 40.737, 2058, 38.8, 9.67
WILLOWS 6 W, Glenn, CA02, -122.305, 39.523, 234, 49.6, 1.14
YOSEMITE PARK HEADQUARTERS, Mariposa, CA05, -119.590, 37.750, 4018, 38.9, 8.25
YREKA, Siskiyou, CA01, -122.641, 41.703, 2709, 36.7, 7.02
BERKELEY, Alameda, CA04, -122.260, 37.874, 310, 50.6, 4.03
BLYTHE, Riverside, CA07, -114.597, 33.613, 268, 54.5, 0.00
EUREKA WFO WOODLEY ISLAND, Humboldt, CA01, -124.160, 40.810, 20, 49.1, 12.09
INDEPENDENCE, Inyo, CA07, -118.204, 36.798, 3950, 40.4, 3.69
SAN LUIS OBISPO POLY, San Luis Obispo, CA04, -120.662, 35.306, 308, 53.4, 2.38
BURNEY, Shasta, CA02, -121.655, 40.880, 3198, 35.5, 6.37
CAMPO, San Diego, CA06, -116.470, 32.626, 2630, 48.4, 0.99
CALEXICO 2 NE, Imperial, CA07, -115.464, 32.688, 12, M, 0.00
EL CENTRO 2 SSW, Imperial, CA07, -115.562, 32.767, -30, 57.9, 0.00
LA MESA, San Diego, CA06, -117.023, 32.768, 530, 59.1, 0.00
IMPERIAL COUNTY AP, Imperial, CA07, -115.577, 32.835, -55, 56.2, 0.00
EL CENTRO NAF, Imperial, CA07, -115.664, 32.832, -46, 57.0, 0.00
ALPINE, San Diego, CA06, -116.777, 32.836, 1695, 55.0, 0.30
AUBERRY 2 NW, Fresno, CA05, -119.513, 37.092, 2090, 45.8, 6.48
