Name, County, ClimateDivision, Longitude, Latitude, Elevation, MeanAvgTemperature, TotalPrecipitation
IMPERIAL, Imperial, CA07, -115.567, 32.849, -64, 75.6, 0.00
EL CAPITAN DAM, San Diego, CA06, -116.815, 32.886, 600, 56.4, 0.00
LAKESIDE 2 E, San Diego, CA06, -116.895, 32.854, 690, M, 0.00
POWAY VALLEY, San Diego, CA06, -117.031, 33.020, 648, 63.1, 0.02
JULIAN CDF, San Diego, CA06, -116.592, 33.076, 4215, 51.8, 0.03
SAN PASQUAL ANIMAL PK, San Diego, CA06, -116.997, 33.096, 420, 62.6, 0.03
CARLSBAD MCCLELLAN PALOMAR AP, San Diego, CA06, -117.277, 33.130, 313, 59.5, 0.01
HENSHAW DAM, San Diego, CA06, -116.761, 33.237, 2700, 53.7, 0.08
VISTA, San Diego, CA06, -117.232, 33.235, 430, 61.8, 0.00
OCEANSIDE MARINA, San Diego, CA06, -117.395, 33.210, 10, 58.6, T
NILAND, Imperial, CA07, -115.524, 33.278, -60, M, 0.00
BORREGO DESERT PARK, San Diego, CA07, -116.404, 33.256, 810, 72.1, 0.02
PALOMAR MTN OBSERVATORY, San Diego, CA06, -116.840, 33.378, 5550, 54.5, 0.04
MECCA FIRE STATION, Riverside, CA07, -116.073, 33.570, -183, 77.0, 0.00
LAGUNA BEACH, Orange, CA06, -117.781, 33.545, 44, 61.2, 0.03
BLYTHE ASOS, Riverside, CA07, -114.715, 33.619, 395, 76.4, 0.00
DESERT RESORTS REGIONAL AP, Riverside, CA07, -116.164, 33.632, -118, 75.5, T
DEEP CANYON LAB, Riverside, CA07, -116.376, 33.651, 1200, M, 0.01
ELSINORE, Riverside, CA06, -117.346, 33.686, 1268, 65.2, 0.13
SANTA ANA JOHN WAYNE AP, Orange, CA06, -117.867, 33.680, 43, 63.7, 0.02
HAYFIELD PUMPING PLANT, Riverside, CA07, -115.629, 33.704, 1370, 70.6, 0.00
IDYLLWILD FIRE DEPT, Riverside, CA06, -116.707, 33.757, 5380, 52.6, 0.07
SAN JACINTO, Riverside, CA06, -116.975, 33.797, 1525, 63.3, 0.20
HEMET, Riverside, CA06, -116.894, 33.738, 1811, 63.5, 0.00
SANTA ANA FIRE STATION, Orange, CA06, -117.867, 33.744, 135, 65.3, 0.05
EAGLE MOUNTAIN, Riverside, CA07, -115.451, 33.809, 973, 74.9, 0.00
PALM SPRINGS, Riverside, CA07, -116.510, 33.828, 425, 76.1, T
LONG BEACH DAUGHERTY AP, Los Angeles, CA06, -118.147, 33.812, 34, 63.3, 0.05
PALOS VERDES ES FC43D, Los Angeles, CA06, -118.391, 33.800, 220, M, 0.00
FULLERTON MUNICIPAL AP, Orange, CA06, -117.986, 33.872, 86, 64.2, 0.02
BEAUMONT #2, Riverside, CA07, -116.990, 33.926, 2591, 61.5, 0.13
MARCH AFB, Riverside, CA06, -117.250, 33.900, 1536, 61.2, 0.02
YORBA LINDA, Orange, CA06, -117.819, 33.890, 350, 63.5, 0.00
DOWNEY FIRE DEPT. FC107C, Los Angeles, CA06, -118.145, 33.930, 110, M, 0.00
HAWTHORNE MUNICIPAL AP, Los Angeles, CA06, -118.333, 33.924, 55, 62.6, 0.05
LOS ANGELES INTL AP, Los Angeles, CA06, -118.387, 33.938, 97, 61.0, 0.08
RIVERSIDE MUNICIPAL AP, Riverside, CA06, -117.435, 33.953, 845, 65.5, 0.13
CHINO AP, San Bernardino, CA06, -117.625, 33.976, 636, 63.8, 0.02
WHITTIER CITY YARD FC106C, Los Angeles, CA06, -118.022, 33.976, 446, M, 0.02
MONTEBELLO, Los Angeles, CA06, -118.105, 34.019, 246, 65.7, 0.00
VICTORVILLE, San Bernardino, CA07, -117.293, 34.529, 2880, 60.0, 0.00
ACTON ESCONDIDO FC261, Los Angeles, CA06, -118.271, 34.494, 2833, M, 0.00
GIBRALTAR DAM NO. 2, Santa Barbara, CA06, -119.682, 34.523, 1558, M, 0.06
AMBOY, San Bernardino, CA07, -115.744, 34.559, 648, 73.9, 0.00
PALMDALE, Los Angeles, CA07, -118.094, 34.588, 2612, 62.9, 0.00
SAUGUS POWER PLANT 1, Los Angeles, CA06, -118.454, 34.590, 2161, M, 0.18
LOS PRIETOS RS, Santa Barbara, CA06, -119.791, 34.544, 1024, M, 0.02
CACHUMA LAKE, Santa Barbara, CA06, -119.982, 34.582, 789, 60.2, 0.05
SALSIPUEDES GAGING STATION, Santa Barbara, CA06, -120.408, 34.585, 254, M, 0.04
EL MIRAGE, San Bernardino, CA07, -117.630, 34.589, 2950, 60.4, 0.00
PALMDALE AP, Los Angeles, CA07, -118.083, 34.629, 2509, 62.7, T
LOMPOC, Santa Barbara, CA06, -120.451, 34.654, 75, 57.7, 0.08
LANCASTER, Los Angeles, CA06, -118.213, 34.741, 2338, 62.0, T
SANDBERG, Los Angeles, CA06, -118.724, 34.744, 4510, 51.7, 0.12
LEBEC, Kern, CA05, -118.865, 34.833, 3575, 50.5, 0.10
CHUCHUPATE RANGER STN, Ventura, CA05, -119.011, 34.808, 5260, 50.2, 0.02
GAREY SISQUOC RIVER, Santa Barbara, CA06, -120.305, 34.894, 355, M, 0.19
MITCHELL CAVERNS, San Bernardino, CA07, -115.547, 34.944, 4350, 60.8, T
NEW CUYAMA FIRE STATION, Santa Barbara, CA06, -119.683, 34.946, 2160, 59.3, T
TWITCHELL DAM, Santa Barbara, CA06, -120.321, 34.988, 582, 58.9, 0.23
SAN GABRIEL DAM FC425B-E, Los Angeles, CA06, -117.861, 34.205, 1481, M, 0.00
MT WILSON CBS, Los Angeles, CA06, -118.071, 34.231, 5710, 53.6, 0.04
LA CRESCENTA FC251 C, Los Angeles, CA06, -118.238, 34.222, 1545, M, 0.13
VAN NUYS AP, Los Angeles, CA06, -118.491, 34.212, 785, 64.8, 0.08
CAMARILLO AP, Ventura, CA06, -119.088, 34.211, 71, 59.7, 0.04
OXNARD VENTURA COUNTY AP, Ventura, CA06, -119.204, 34.200, 39, 57.9, 0.19
PARKER RESRVOIR, San Bernardino, CA07, -114.171, 34.290, 738, 76.8, 0.00
TWENTYNINE PALMS MC, San Bernardino, CA07, -116.147, 34.294, 2003, 69.5, 0.01
BIG BEAR LAKE, San Bernardino, CA06, -116.917, 34.243, 6753, 47.5, 0.40
LAKE ARROWHEAD, San Bernardino, CA07, -117.188, 34.247, 5205, 51.1, 0.60
CHATSWORTH FC 24 F, Los Angeles, CA06, -118.600, 34.250, 950, M, 0.00
VENTURA, Ventura, CA06, -119.292, 34.283, 105, M, 0.15
CRYSTAL LAKE FC238C, Los Angeles, CA06, -117.842, 34.318, 5345, M, 0.31
BIG TUJUNGA DAM FC46, Los Angeles, CA06, -118.188, 34.295, 2326, M, 0.00
PACOIMA DAM FC33A-E, Los Angeles, CA06, -118.400, 34.329, 1550, M, 0.28
PIRU 2 ESE, Ventura, CA06, -118.757, 34.406, 712, M, 0.18
SANTA BARBARA MUNI AP, Santa Barbara, CA06, -119.842, 34.424, 8, 60.6, 0.14
JUNCAL DAM, Santa Barbara, CA06, -119.507, 34.491, 2260, M, 0.13
MOJAVE, Kern, CA07, -118.162, 35.049, 2735, 61.6, 0.00
PISMO BEACH, San Luis Obispo, CA04, -120.683, 35.160, 39, 57.8, 0.07
TAFT, Kern, CA05, -119.430, 35.150, 773, 64.2, 0.04
BAKER, San Bernardino, CA07, -116.063, 35.276, 962, 72.2, 0.00
RANDSBURG, Kern, CA07, -117.652, 35.369, 3570, 60.7, 0.00
SANTA MARGARITA BOOST, San Luis Obispo, CA04, -120.637, 35.374, 1148, M, 0.16
MORRO BAY FIRE DEPT, San Luis Obispo, CA04, -120.845, 35.367, 118, 56.9, 0.12
BAKERSFIELD AP, Kern, CA05, -119.055, 35.434, 490, 65.8, 0.27
BUTTONWILLOW, Kern, CA05, -119.470, 35.403, 225, 65.7, 0.05
GLENNVILLE, Kern, CA05, -118.701, 35.727, 3140, 51.0, 0.43
TRONA, San Bernardino, CA07, -117.391, 35.764, 1695, 68.7, 0.10
DELANO, Kern, CA05, -119.260, 35.768, 302, M, 0.12
BARSTOW-DAGGETT AIRPORT, San Bernardino, CA07, -116.787, 34.854, 1919, 69.2, 0.00
MERCED, Merced, CA05, -120.516, 37.289, 154, 62.9, 0.47
SAN DIEGO MONTGOMERY FIELD, San Diego, CA06, -117.137, 32.815, 418, 61.7, T
SAN DIEGO INTERNATIONAL AP, San Diego, CA06, -117.183, 32.734, 15, 62.1, 0.01
SAN DIEGO MIRAMAR NAS, San Diego, CA06, -117.133, 32.867, 477, 61.0, 0.02
NORTH ISLAND NAS, San Diego, CA06, -117.210, 32.692, 14, 64.1, T
SAN FRANCISCO INTERNATIONAL AP, San Mateo, CA04, -122.366, 37.620, 10, 57.6, 0.69
SAN LUIS OBISPO MCCHESNEY FIELD, San Luis Obispo, CA04, -120.644, 35.238, 183, 58.3, 0.20
CEDARVILLE, Modoc, CA03, -120.179, 41.530, 4688, 47.8, 1.35
