Name, County, ClimateDivision, Longitude, Latitude, Elevation, MeanAvgTemperature, TotalPrecipitation
IMPERIAL, Imperial, CA07, -115.567, 32.849, -64, 57.4, 0.75
EL CAPITAN DAM, San Diego, CA06, -116.815, 32.886, 600, 54.8, 3.99
LAKESIDE 2 E, San Diego, CA06, -116.895, 32.854, 690, M, 3.96
POWAY VALLEY, San Diego, CA06, -117.031, 33.020, 648, 53.2, 4.22
JULIAN CDF, San Diego, CA06, -116.592, 33.076, 4215, 38.8, 6.87
RAMONA FIRE DEPT, San Diego, CA06, -116.908, 33.011, 1470, 49.3, 4.46
SAN PASQUAL ANIMAL PK, San Diego, CA06, -116.997, 33.096, 420, 52.6, 4.94
CARLSBAD MCCLELLAN PALOMAR AP, San Diego, CA06, -117.277, 33.130, 313, 53.4, 3.07
HENSHAW DAM, San Diego, CA06, -116.761, 33.237, 2700, 44.0, 6.68
VISTA, San Diego, CA06, -117.232, 33.235, 430, 52.8, 4.78
OCEANSIDE MARINA, San Diego, CA06, -117.395, 33.210, 10, 52.1, 3.91
NILAND, Imperial, CA07, -115.524, 33.278, -60, M, 0.82
BORREGO DESERT PARK, San Diego, CA07, -116.404, 33.256, 810, 57.1, 2.63
PALOMAR MTN OBSERVATORY, San Diego, CA06, -116.840, 33.378, 5550, 37.0, 9.72
TEMECULA, Riverside, CA06, -117.151, 33.497, 1020, 51.4, 6.46
MECCA FIRE STATION, Riverside, CA07, -116.073, 33.570, -183, 52.2, 0.29
ANZA, Riverside, CA06, -116.674, 33.556, 3915, M, 2.24
LAGUNA BEACH, Orange, CA06, -117.781, 33.545, 44, 54.4, 6.84
BLYTHE ASOS, Riverside, CA07, -114.715, 33.619, 395, 56.1, 0.67
DESERT RESORTS REGIONAL AP, Riverside, CA07, -116.164, 33.632, -118, 53.5, 1.87
DEEP CANYON LAB, Riverside, CA07, -116.376, 33.651, 1200, M, 1.82
ELSINORE, Riverside, CA06, -117.346, 33.686, 1268, 50.7, 5.45
SANTA ANA JOHN WAYNE AP, Orange, CA06, -117.867, 33.680, 43, 54.8, 5.67
HAYFIELD PUMPING PLANT, Riverside, CA07, -115.629, 33.704, 1370, 51.4, 1.20
SUN CITY, Riverside, CA06, -117.190, 33.716, 1420, 47.6, 3.73
IDYLLWILD FIRE DEPT, Riverside, CA06, -116.707, 33.757, 5380, 37.5, 5.15
SAN JACINTO, Riverside, CA06, -116.975, 33.797, 1525, 49.3, 3.23
HEMET, Riverside, CA06, -116.894, 33.738, 1811, 52.0, 3.25
