Name, County, ClimateDivision, Longitude, Latitude, Elevation, MeanAvgTemperature, TotalPrecipitation
CULVER CITY, Los Angeles, CA06, -118.414, 34.005, 92, 62.0, 0.06
SANTA MONICA MUNICIPAL AP, Los Angeles, CA06, -118.447, 34.021, 175, 61.6, 0.07
SANTA MONICA PIER, Los Angeles, CA06, -118.500, 34.008, 14, M, 0.00
ONTARIO INTL AP, San Bernardino, CA06, -117.577, 34.053, 924, 58.8, 0.45
POMONA/FAIRPLEX, Los Angeles, CA06, -117.766, 34.082, 999, 58.3, 0.70
COVINA CITY YARD FC387B, Los Angeles, CA06, -117.880, 34.092, 607, M, 0.45
U C L A, Los Angeles, CA06, -118.443, 34.070, 430, 64.4, 0.04
IRON MOUNTAIN, San Bernardino, CA07, -115.122, 34.147, 922, 62.2, 0.10
TWENTYNINE PALMS, San Bernardino, CA07, -116.037, 34.128, 1975, 57.1, 0.05
JOSHUA TREE, San Bernardino, CA07, -116.275, 34.147, 2563, 53.3, 0.01
SAN GABRIEL FIRE DEPT, Los Angeles, CA06, -118.100, 34.084, 363, M, 0.04
POINT MUGU NF, Ventura, CA06, -119.123, 34.124, 12, 60.2, T
ALTADENA, Los Angeles, CA06, -118.138, 34.182, 1127, M, 0.19
SAN GABRIEL CANYON PH, Los Angeles, CA06, -117.908, 34.155, 744, M, 0.69
WOODLAND HILLS PIERCE COLLEGE, Los Angeles, CA06, -118.574, 34.182, 790, 59.8, 0.13
SAN GABRIEL DAM FC425B-E, Los Angeles, CA06, -117.861, 34.205, 1481, M, 0.30
MT WILSON CBS, Los Angeles, CA06, -118.071, 34.231, 5710, 49.2, 0.72
VAN NUYS AP, Los Angeles, CA06, -118.491, 34.212, 785, 61.0, 0.01
CAMARILLO AP, Ventura, CA06, -119.088, 34.211, 71, 61.3, 0.02
OXNARD VENTURA COUNTY AP, Ventura, CA06, -119.204, 34.200, 39, 60.6, 0.02
PARKER RESRVOIR, San Bernardino, CA07, -114.171, 34.290, 738, 64.7, 0.19
TWENTYNINE PALMS MC, San Bernardino, CA07, -116.147, 34.294, 2003, M, T
BIG BEAR LAKE, San Bernardino, CA06, -116.917, 34.243, 6753, 37.1, 2.23
