Name, County, ClimateDivision, Longitude, Latitude, Elevation, MeanAvgTemperature, TotalPrecipitation
IMPERIAL, Imperial, CA07, -115.567, 32.849, -64, 81.9, 0.00
EL CAPITAN DAM, San Diego, CA06, -116.815, 32.886, 600, 70.5, 0.12
LAKESIDE 2 E, San Diego, CA06, -116.895, 32.854, 690, M, 0.22
POWAY VALLEY, San Diego, CA06, -117.031, 33.020, 648, 64.8, 0.00
JULIAN CDF, San Diego, CA06, -116.592, 33.076, 4215, 60.2, 0.03
RAMONA FIRE DEPT, San Diego, CA06, -116.908, 33.011, 1470, 64.9, 0.06
SAN PASQUAL ANIMAL PK, San Diego, CA06, -116.997, 33.096, 420, 66.6, 0.17
CARLSBAD MCCLELLAN PALOMAR AP, San Diego, CA06, -117.277, 33.130, 313, 62.8, 0.05
HENSHAW DAM, San Diego, CA06, -116.761, 33.237, 2700, 62.7, 0.03
VISTA, San Diego, CA06, -117.232, 33.235, 430, 67.3, 0.13
OCEANSIDE MARINA, San Diego, CA06, -117.395, 33.210, 10, 61.1, 0.00
NILAND, Imperial, CA07, -115.524, 33.278, -60, M, 0.00
BORREGO DESERT PARK, San Diego, CA07, -116.404, 33.256, 810, 81.7, 0.00
PALOMAR MTN OBSERVATORY, San Diego, CA06, -116.840, 33.378, 5550, 64.1, 0.10
TEMECULA, Riverside, CA06, -117.151, 33.497, 1020, 67.9, 0.02
MECCA FIRE STATION, Riverside, CA07, -116.073, 33.570, -183, 82.7, 0.00
ANZA, Riverside, CA06, -116.674, 33.556, 3915, M, 0.00
LAGUNA BEACH, Orange, CA06, -117.781, 33.545, 44, 64.4, 0.10
BLYTHE ASOS, Riverside, CA07, -114.715, 33.619, 395, 84.6, 0.00
DESERT RESORTS REGIONAL AP, Riverside, CA07, -116.164, 33.632, -118, 81.1, 0.00
BARSTOW-DAGGETT AIRPORT, San Bernardino, CA07, -116.787, 34.854, 1919, 79.0, T
MERCED, Merced, CA05, -120.516, 37.289, 154, 68.7, 0.66
SAN DIEGO MONTGOMERY FIELD, San Diego, CA06, -117.137, 32.815, 418, 64.5, 0.02
SAN DIEGO INTERNATIONAL AP, San Diego, CA06, -117.183, 32.734, 15, 64.6, T
SAN DIEGO MIRAMAR NAS, San Diego, CA06, -117.133, 32.867, 477, 62.8, T
SAN FRANCISCO INTERNATIONAL AP, San Mateo, CA04, -122.366, 37.620, 10, 60.2, 0.53
SAN LUIS OBISPO MCCHESNEY FIELD, San Luis Obispo, CA04, -120.644, 35.238, 183, 60.4, 0.14
BRAWLEY 2 SW, Imperial, CA07, -115.558, 32.954, -100, 80.1, 0.00
CEDARVILLE, Modoc, CA03, -120.179, 41.530, 4688, 54.6, 0.70
CHICO UNIVERSITY FARM, Butte, CA02, -121.821, 39.691, 185, 66.4, 0.96
CHULA VISTA, San Diego, CA06, -117.086, 32.640, 56, 64.8, 0.00
COLFAX, Placer, CA02, -120.947, 39.090, 2373, 58.9, 3.51
CUYAMACA, San Diego, CA06, -116.587, 32.990, 4640, 59.0, 0.07
DAVIS 2 WSW EXP FARM, Yolo, CA02, -121.776, 38.535, 60, 68.1, 0.77
DEATH VALLEY NATIONAL PARK, Inyo, CA07, -116.867, 36.463, -194, 88.8, T
FAIRMONT, Los Angeles, CA07, -118.430, 34.705, 3060, 67.3, 0.00
FORT BRAGG 5 N, Mendocino, CA01, -123.756, 39.510, 123, 53.2, 2.59
HANFORD 1 S, Kings, CA05, -119.637, 36.316, 237, 71.2, 0.48
HAPPY CAMP RANGER STATION, Siskiyou, CA01, -123.375, 41.796, 1142, 58.6, 0.92
HEALDSBURG, Sonoma, CA01, -122.866, 38.629, 177, 66.7, 1.83
INDIO FIRE STATION, Riverside, CA07, -116.215, 33.709, -21, 84.8, 0.00
LAKE SPAULDING, Nevada, CA02, -120.639, 39.318, 5156, 52.4, 4.10
LEMON COVE, Tulare, CA05, -119.026, 36.382, 513, 70.6, 0.71
LIVERMORE, Alameda, CA04, -121.751, 37.682, 529, 64.6, 0.69
LODI, San Joaquin, CA05, -121.288, 38.106, 40, 66.7, 0.83
MARYSVILLE, Yuba, CA02, -121.585, 39.146, 57, 69.6, 1.07
MERCED MUNICIPAL AP, Merced, CA05, -120.518, 37.286, 152, 67.4, 0.79
NAPA STATE HOSPITAL, Napa, CA01, -122.265, 38.278, 35, 63.7, 1.54
OJAI, Ventura, CA06, -119.227, 34.448, 745, 66.8, 0.00
ORLAND, Glenn, CA02, -122.200, 39.746, 254, 67.5, 1.21
ORLEANS, Humboldt, CA01, -123.532, 41.309, 403, 60.9, 2.10
PASADENA, Los Angeles, CA06, -118.145, 34.148, 864, 70.4, 0.17
PASO ROBLES, San Luis Obispo, CA04, -120.685, 35.628, 730, 65.5, 0.05
PETALUMA AIRPORT, Sonoma, CA01, -122.608, 38.258, 20, 60.0, 1.21
QUINCY, Plumas, CA02, -120.947, 39.937, 3420, 57.1, 1.27
REDLANDS, San Bernardino, CA06, -117.195, 34.037, 1410, 70.2, 0.06
SANTA BARBARA, Santa Barbara, CA06, -119.684, 34.417, 16, 63.5, 0.00
SANTA CRUZ, Santa Cruz, CA04, -122.000, 36.988, 70, 60.7, 1.27
SANTA ROSA, Sonoma, CA01, -122.713, 38.456, 166, 62.8, 1.48
TAHOE CITY, Placer, CA03, -120.143, 39.168, 6230, 48.7, 2.37
TUSTIN IRVINE RANCH, Orange, CA06, -117.754, 33.703, 235, 64.7, 0.23
UKIAH, Mendocino, CA01, -123.210, 39.147, 636, 61.8, 2.62
VACAVILLE, Solano, CA02, -121.961, 38.396, 110, 68.1, 0.99
WASCO, Kern, CA05, -119.352, 35.589, 291, 71.2, 0.00
WEAVERVILLE, Trinity, CA01, -122.940, 40.737, 2058, 58.7, 1.84
WILLOWS 6 W, Glenn, CA02, -122.305, 39.523, 234, 65.9, 1.84
YOSEMITE PARK HEADQUARTERS, Mariposa, CA05, -119.590, 37.750, 4018, 61.1, 2.68
YREKA, Siskiyou, CA01, -122.641, 41.703, 2709, 55.9, 0.33
BERKELEY, Alameda, CA04, -122.260, 37.874, 310, 61.3, 1.48
BLYTHE, Riverside, CA07, -114.597, 33.613, 268, 83.0, 0.00
EUREKA WFO WOODLEY ISLAND, Humboldt, CA01, -124.160, 40.810, 20, 55.2, 1.86
INDEPENDENCE, Inyo, CA07, -118.204, 36.798, 3950, 71.5, 0.00
SAN LUIS OBISPO POLY, San Luis Obispo, CA04, -120.662, 35.306, 308, 63.1, 0.21
CAMPO, San Diego, CA06, -116.470, 32.626, 2630, 63.2, T
CALEXICO 2 NE, Imperial, CA07, -115.464, 32.688, 12, M, 0.00
EL CENTRO 2 SSW, Imperial, CA07, -115.562, 32.767, -30, 82.5, 0.09
OCOTILLO 2, Imperial, CA07, -116.001, 32.746, 410, M, 0.00
LA MESA, San Diego, CA06, -117.023, 32.768, 530, 67.3, 0.04
ALPINE, San Diego, CA06, -116.777, 32.836, 1695, 66.7, 0.24
DEEP CANYON LAB, Riverside, CA07, -116.376, 33.651, 1200, M, 0.00
ELSINORE, Riverside, CA06, -117.346, 33.686, 1268, 71.3, 0.00
SANTA ANA JOHN WAYNE AP, Orange, CA06, -117.867, 33.680, 43, 66.0, 0.02
HAYFIELD PUMPING PLANT, Riverside, CA07, -115.629, 33.704, 1370, 80.1, 0.00
SUN CITY, Riverside, CA06, -117.190, 33.716, 1420, 70.2, 0.00
IDYLLWILD FIRE DEPT, Riverside, CA06, -116.707, 33.757, 5380, 58.8, 0.00
SAN JACINTO, Riverside, CA06, -116.975, 33.797, 1525, 70.6, 0.41
HEMET, Riverside, CA06, -116.894, 33.738, 1811, 69.9, 0.09
SANTA ANA FIRE STATION, Orange, CA06, -117.867, 33.744, 135, 67.0, 0.03
EAGLE MOUNTAIN, Riverside, CA07, -115.451, 33.809, 973, 84.0, 0.00
PALM SPRINGS, Riverside, CA07, -116.510, 33.828, 425, 84.3, 0.00
LONG BEACH DAUGHERTY AP, Los Angeles, CA06, -118.147, 33.812, 34, 67.9, 0.03
PALOS VERDES ES FC43D, Los Angeles, CA06, -118.391, 33.800, 220, M, 0.06
SNOW CREEK UPPER, Riverside, CA07, -116.680, 33.873, 1940, M, 0.00
FULLERTON MUNICIPAL AP, Orange, CA06, -117.986, 33.872, 86, 67.9, 0.04
BEAUMONT #2, Riverside, CA07, -116.990, 33.926, 2591, 68.8, 0.47
DOWNEY FIRE DEPT. FC107C, Los Angeles, CA06, -118.145, 33.930, 110, M, 0.06
HAWTHORNE MUNICIPAL AP, Los Angeles, CA06, -118.333, 33.924, 55, 65.4, T
LOS ANGELES INTL AP, Los Angeles, CA06, -118.387, 33.938, 97, 64.3, T
RIVERSIDE FIRE STATION 3, Riverside, CA06, -117.388, 33.951, 840, 71.3, 0.00
RIVERSIDE MUNICIPAL AP, Riverside, CA06, -117.435, 33.953, 845, 69.2, T
CHINO AP, San Bernardino, CA06, -117.625, 33.976, 636, 67.6, 0.06
WHITTIER CITY YARD FC106C, Los Angeles, CA06, -118.022, 33.976, 446, M, 0.06
RIVERSIDE CITRUS EXP, Riverside, CA06, -117.361, 33.967, 986, 70.0, 0.03
WALNUT NI FC102C, Los Angeles, CA06, -117.866, 34.002, 488, M, 0.00
MONTEBELLO, Los Angeles, CA06, -118.105, 34.019, 246, 70.8, 0.08
CULVER CITY, Los Angeles, CA06, -118.414, 34.005, 92, 65.2, 0.00
SANTA MONICA PIER, Los Angeles, CA06, -118.500, 34.008, 14, 60.4, 0.05
ONTARIO INTL AP, San Bernardino, CA06, -117.577, 34.053, 924, 69.2, 0.02
POMONA/FAIRPLEX, Los Angeles, CA06, -117.766, 34.082, 999, 70.2, 0.10
COVINA CITY YARD FC387B, Los Angeles, CA06, -117.880, 34.092, 607, M, 0.02
U C L A, Los Angeles, CA06, -118.443, 34.070, 430, 64.7, 0.01
TOPANGA PATROL FC-6, Los Angeles, CA06, -118.599, 34.084, 745, M, 0.00
IRON MOUNTAIN, San Bernardino, CA07, -115.122, 34.147, 922, 85.3, 0.00
TWENTYNINE PALMS, San Bernardino, CA07, -116.037, 34.128, 1975, 79.9, 0.00
SAN BERNARDINO F S 226, San Bernardino, CA06, -117.254, 34.134, 1140, 71.7, 0.03
SAN DIMAS FIRE FC 95, Los Angeles, CA06, -117.802, 34.105, 958, M, 0.00
GLENDORA FC 287B, Los Angeles, CA06, -117.847, 34.147, 933, M, 0.75
SAN GABRIEL FIRE DEPT, Los Angeles, CA06, -118.100, 34.084, 363, 67.9, 0.00
POINT MUGU NF, Ventura, CA06, -119.123, 34.124, 12, 59.4, 0.00
