Name, County, ClimateDivision, Longitude, Latitude, Elevation, MeanAvgTemperature, TotalPrecipitation
CULVER CITY, Los Angeles, CA06, -118.414, 34.005, 92, 58.8, 6.61
SANTA MONICA MUNICIPAL AP, Los Angeles, CA06, -118.447, 34.021, 175, 57.4, 4.09
ONTARIO INTL AP, San Bernardino, CA06, -117.577, 34.053, 924, 59.0, 1.47
COVINA CITY YARD FC387B, Los Angeles, CA06, -117.880, 34.092, 607, M, 3.88
U C L A, Los Angeles, CA06, -118.443, 34.070, 430, 59.6, 5.12
IRON MOUNTAIN, San Bernardino, CA07, -115.122, 34.147, 922, 63.1, 0.02
TWENTYNINE PALMS, San Bernardino, CA07, -116.037, 34.128, 1975, 61.7, 0.09
JOSHUA TREE, San Bernardino, CA07, -116.275, 34.147, 2563, 55.5, 0.27
SAN GABRIEL FIRE DEPT, Los Angeles, CA06, -118.100, 34.084, 363, M, 3.20
POINT MUGU NF, Ventura, CA06, -119.123, 34.124, 12, 56.0, 4.39
ALTADENA, Los Angeles, CA06, -118.138, 34.182, 1127, M, 5.69
SAN GABRIEL CANYON PH, Los Angeles, CA06, -117.908, 34.155, 744, M, 6.15
WOODLAND HILLS PIERCE COLLEGE, Los Angeles, CA06, -118.574, 34.182, 790, 58.0, 3.78
SALINAS DAM, San Luis Obispo, CA04, -120.504, 35.337, 1392, M, 9.73
RANDSBURG, Kern, CA07, -117.652, 35.369, 3570, 51.6, 1.60
SANTA MARGARITA BOOST, San Luis Obispo, CA04, -120.637, 35.374, 1148, M, 13.39
MORRO BAY FIRE DEPT, San Luis Obispo, CA04, -120.845, 35.367, 118, M, 7.23
BAKERSFIELD AP, Kern, CA05, -119.055, 35.434, 490, 58.8, 2.41
BUTTONWILLOW, Kern, CA05, -119.470, 35.403, 225, 56.5, 1.55
LOST HILLS, Kern, CA05, -119.689, 35.618, 288, M, 1.41
GLENNVILLE, Kern, CA05, -118.701, 35.727, 3140, 45.6, 6.68
TRONA, San Bernardino, CA07, -117.391, 35.764, 1695, 57.2, 0.60
DELANO, Kern, CA05, -119.260, 35.768, 302, 55.6, 1.89
KETTLEMAN CITY, Kings, CA05, -119.960, 36.007, 240, 53.9, 1.73
CORCORAN IRRIGATION DIST., Kings, CA05, -119.582, 36.098, 200, 55.3, 2.39
COALINGA, Fresno, CA05, -120.361, 36.136, 670, 56.6, 2.70
KING CITY, Monterey, CA04, -121.138, 36.207, 320, 55.0, 4.00
LINDSAY, Tulare, CA05, -119.054, 36.203, 435, 54.2, 3.56
BIG SUR STATION, Monterey, CA04, -121.780, 36.247, 200, 50.7, 11.98
VISALIA, Tulare, CA05, -119.300, 36.328, 303, 54.5, 3.42
FIVE POINTS 5 SSW, Fresno, CA05, -120.156, 36.364, 285, 56.0, 2.71
SAN CLEMENTE DAM, Monterey, CA04, -121.709, 36.438, 600, M, 7.61
ASH MOUNTAIN, Tulare, CA05, -118.825, 36.491, 1708, 52.1, 8.28
IMPERIAL, Imperial, CA07, -115.567, 32.849, -64, 65.2, 0.04
EL CAPITAN DAM, San Diego, CA06, -116.815, 32.886, 600, M, 2.21
LAKESIDE 2 E, San Diego, CA06, -116.895, 32.854, 690, M, 1.91
POWAY VALLEY, San Diego, CA06, -117.031, 33.020, 648, M, 1.69
JULIAN CDF, San Diego, CA06, -116.592, 33.076, 4215, 48.9, 4.26
CARLSBAD MCCLELLAN PALOMAR AP, San Diego, CA06, -117.277, 33.130, 313, 57.3, 2.24
