Name, County, ClimateDivision, Longitude, Latitude, Elevation, MeanAvgTemperature, TotalPrecipitation
BARSTOW-DAGGETT AIRPORT, San Bernardino, CA07, -116.787, 34.854, 1919, 44.8, 0.45
MERCED, Merced, CA05, -120.516, 37.289, 154, 45.5, 3.10
SAN DIEGO MONTGOMERY FIELD, San Diego, CA06, -117.137, 32.815, 418, 55.0, 3.27
SAN DIEGO INTERNATIONAL AP, San Diego, CA06, -117.183, 32.734, 15, 56.7, 2.28
SAN DIEGO MIRAMAR NAS, San Diego, CA06, -117.133, 32.867, 477, 54.8, 3.32
NORTH ISLAND NAS, San Diego, CA06, -117.210, 32.692, 14, 59.5, 1.99
SAN FRANCISCO INTERNATIONAL AP, San Mateo, CA04, -122.366, 37.620, 10, 49.2, 3.07
SAN LUIS OBISPO MCCHESNEY FIELD, San Luis Obispo, CA04, -120.644, 35.238, 183, 51.1, 4.73
CEDARVILLE, Modoc, CA03, -120.179, 41.530, 4688, 26.7, 1.00
CHICO UNIVERSITY FARM, Butte, CA02, -121.821, 39.691, 185, 42.5, 0.64
CHULA VISTA, San Diego, CA06, -117.086, 32.640, 56, 55.3, 2.29
COLFAX, Placer, CA02, -120.947, 39.090, 2373, 44.6, 5.55
CUYAMACA, San Diego, CA06, -116.587, 32.990, 4640, 39.4, 9.73
DAVIS 2 WSW EXP FARM, Yolo, CA02, -121.776, 38.535, 60, 44.7, 2.25
DEATH VALLEY NATIONAL PARK, Inyo, CA07, -116.867, 36.463, -194, 50.0, 0.04
FORT BRAGG 5 N, Mendocino, CA01, -123.756, 39.510, 123, 45.0, 5.73
HANFORD 1 S, Kings, CA05, -119.637, 36.316, 237, 45.4, 1.42
HAPPY CAMP RANGER STATION, Siskiyou, CA01, -123.375, 41.796, 1142, 36.9, 0.52
HEALDSBURG, Sonoma, CA01, -122.866, 38.629, 177, 47.4, 4.04
INDIO FIRE STATION, Riverside, CA07, -116.215, 33.709, -21, 57.7, 1.12
LEMON COVE, Tulare, CA05, -119.026, 36.382, 513, 47.0, 2.69
LIVERMORE, Alameda, CA04, -121.751, 37.682, 529, 46.5, 2.02
LODI, San Joaquin, CA05, -121.288, 38.106, 40, 45.5, 1.99
MERCED MUNICIPAL AP, Merced, CA05, -120.518, 37.286, 152, 44.4, 2.77
