Name, County, ClimateDivision, Longitude, Latitude, Elevation, MeanAvgTemperature, TotalPrecipitation
IMPERIAL, Imperial, CA07, -115.567, 32.849, -64, 84.7, 0.24
DESCANSO RANGER STN, San Diego, CA06, -116.617, 32.850, 3500, M, 0.00
EL CAPITAN DAM, San Diego, CA06, -116.815, 32.886, 600, 76.7, 0.12
LAKESIDE 2 E, San Diego, CA06, -116.895, 32.854, 690, M, 0.72
POWAY VALLEY, San Diego, CA06, -117.031, 33.020, 648, 73.1, 0.49
JULIAN CDF, San Diego, CA06, -116.592, 33.076, 4215, 65.9, 1.20
CARLSBAD MCCLELLAN PALOMAR AP, San Diego, CA06, -117.277, 33.130, 313, 69.7, 0.33
HENSHAW DAM, San Diego, CA06, -116.761, 33.237, 2700, 65.6, 0.91
VISTA, San Diego, CA06, -117.232, 33.235, 430, 70.6, 0.14
OCEANSIDE MARINA, San Diego, CA06, -117.395, 33.210, 10, 68.5, 0.20
NILAND, Imperial, CA07, -115.524, 33.278, -60, M, 0.24
BORREGO DESERT PARK, San Diego, CA07, -116.404, 33.256, 810, 83.4, 0.53
PALOMAR MTN OBSERVATORY, San Diego, CA06, -116.840, 33.378, 5550, 66.6, 1.72
MECCA FIRE STATION, Riverside, CA07, -116.073, 33.570, -183, 85.7, 0.14
LAGUNA BEACH, Orange, CA06, -117.781, 33.545, 44, M, 0.02
BLYTHE ASOS, Riverside, CA07, -114.715, 33.619, 395, 85.4, 0.13
DESERT RESORTS REGIONAL AP, Riverside, CA07, -116.164, 33.632, -118, 83.2, 0.29
DEEP CANYON LAB, Riverside, CA07, -116.376, 33.651, 1200, M, 0.42
ELSINORE, Riverside, CA06, -117.346, 33.686, 1268, 75.8, 0.10
SANTA ANA JOHN WAYNE AP, Orange, CA06, -117.867, 33.680, 43, 72.8, T
HAYFIELD PUMPING PLANT, Riverside, CA07, -115.629, 33.704, 1370, 80.3, 0.52
IDYLLWILD FIRE DEPT, Riverside, CA06, -116.707, 33.757, 5380, 62.7, 1.93
SAN JACINTO, Riverside, CA06, -116.975, 33.797, 1525, 74.5, 0.17
HEMET, Riverside, CA06, -116.894, 33.738, 1811, 74.1, 0.41
SANTA ANA FIRE STATION, Orange, CA06, -117.867, 33.744, 135, 74.8, 0.02
EAGLE MOUNTAIN, Riverside, CA07, -115.451, 33.809, 973, 83.0, 0.38
PALM SPRINGS, Riverside, CA07, -116.510, 33.828, 425, M, 0.95
LONG BEACH DAUGHERTY AP, Los Angeles, CA06, -118.147, 33.812, 34, 73.5, T
PALOS VERDES ES FC43D, Los Angeles, CA06, -118.391, 33.800, 220, M, 0.00
FULLERTON MUNICIPAL AP, Orange, CA06, -117.986, 33.872, 86, 75.4, T
BEAUMONT #2, Riverside, CA07, -116.990, 33.926, 2591, M, 0.05
MARCH AFB, Riverside, CA06, -117.250, 33.900, 1536, 73.0, 0.06
HAWTHORNE MUNICIPAL AP, Los Angeles, CA06, -118.333, 33.924, 55, 72.6, T
LOS ANGELES INTL AP, Los Angeles, CA06, -118.387, 33.938, 97, 71.1, 0.01
RIVERSIDE FIRE STATION 3, Riverside, CA06, -117.388, 33.951, 840, 76.2, 0.00
RIVERSIDE MUNICIPAL AP, Riverside, CA06, -117.435, 33.953, 845, 76.4, T
CHINO AP, San Bernardino, CA06, -117.625, 33.976, 636, 75.8, T
BARSTOW-DAGGETT AIRPORT, San Bernardino, CA07, -116.787, 34.854, 1919, 78.6, 0.00
MERCED, Merced, CA05, -120.516, 37.289, 154, 73.1, 0.00
SAN DIEGO MONTGOMERY FIELD, San Diego, CA06, -117.137, 32.815, 418, 72.6, 0.38
SAN DIEGO INTERNATIONAL AP, San Diego, CA06, -117.183, 32.734, 15, 72.0, 0.32
SAN DIEGO MIRAMAR NAS, San Diego, CA06, -117.133, 32.867, 477, 73.8, 0.36
NORTH ISLAND NAS, San Diego, CA06, -117.210, 32.692, 14, 69.2, 0.26
SAN FRANCISCO INTERNATIONAL AP, San Mateo, CA04, -122.366, 37.620, 10, 64.8, 0.00
SAN LUIS OBISPO MCCHESNEY FIELD, San Luis Obispo, CA04, -120.644, 35.238, 183, 69.3, 0.00
CEDARVILLE, Modoc, CA03, -120.179, 41.530, 4688, 62.0, 0.17
CHICO UNIVERSITY FARM, Butte, CA02, -121.821, 39.691, 185, 71.1, 0.00
CHULA VISTA, San Diego, CA06, -117.086, 32.640, 56, 72.1, 0.50
COLFAX, Placer, CA02, -120.947, 39.090, 2373, 72.2, 0.02
CUYAMACA, San Diego, CA06, -116.587, 32.990, 4640, 62.9, 1.19
DAVIS 2 WSW EXP FARM, Yolo, CA02, -121.776, 38.535, 60, 71.9, 0.00
DEATH VALLEY NATIONAL PARK, Inyo, CA07, -116.867, 36.463, -194, 91.6, 0.00
FAIRMONT, Los Angeles, CA07, -118.430, 34.705, 3060, 74.1, 0.00
FORT BRAGG 5 N, Mendocino, CA01, -123.756, 39.510, 123, 56.4, 0.01
HANFORD 1 S, Kings, CA05, -119.637, 36.316, 237, 76.0, 0.00
INDIO FIRE STATION, Riverside, CA07, -116.215, 33.709, -21, 86.3, 0.22
LEMON COVE, Tulare, CA05, -119.026, 36.382, 513, 75.6, 0.00
