ame, County, ClimateDivision, Longitude, Latitude, Elevation, MeanAvgTemperature, TotalPrecipitation
IMPERIAL, Imperial, CA07, -115.567, 32.849, -64, 86.8, 0.91
EL CAPITAN DAM, San Diego, CA06, -116.815, 32.886, 600, 74.8, 0.00
LAKESIDE 2 E, San Diego, CA06, -116.895, 32.854, 690, M, 0.00
POWAY VALLEY, San Diego, CA06, -117.031, 33.020, 648, 74.1, 0.00
JULIAN CDF, San Diego, CA06, -116.592, 33.076, 4215, 68.4, 0.25
CARLSBAD MCCLELLAN PALOMAR AP, San Diego, CA06, -117.277, 33.130, 313, 71.1, T
HENSHAW DAM, San Diego, CA06, -116.761, 33.237, 2700, 69.0, 1.12
VISTA, San Diego, CA06, -117.232, 33.235, 430, 70.6, 0.00
OCEANSIDE MARINA, San Diego, CA06, -117.395, 33.210, 10, 68.0, 0.00
NILAND, Imperial, CA07, -115.524, 33.278, -60, M, 0.11
BORREGO DESERT PARK, San Diego, CA07, -116.404, 33.256, 810, 83.9, 0.22
PALOMAR MTN OBSERVATORY, San Diego, CA06, -116.840, 33.378, 5550, 68.6, 2.25
MECCA FIRE STATION, Riverside, CA07, -116.073, 33.570, -183, 86.6, 0.17
LAGUNA BEACH, Orange, CA06, -117.781, 33.545, 44, M, 0.01
BLYTHE ASOS, Riverside, CA07, -114.715, 33.619, 395, 86.1, 0.57
DESERT RESORTS REGIONAL AP, Riverside, CA07, -116.164, 33.632, -118, 85.1, 0.14
BARSTOW-DAGGETT AIRPORT, San Bernardino, CA07, -116.787, 34.854, 1919, 80.9, 0.59
MERCED, Merced, CA05, -120.516, 37.289, 154, 74.2, 0.00
SAN DIEGO MONTGOMERY FIELD, San Diego, CA06, -117.137, 32.815, 418, 72.4, T
SAN DIEGO INTERNATIONAL AP, San Diego, CA06, -117.183, 32.734, 15, 71.5, T
SAN DIEGO MIRAMAR NAS, San Diego, CA06, -117.133, 32.867, 477, 71.5, 0.38
NORTH ISLAND NAS, San Diego, CA06, -117.210, 32.692, 14, 75.8, T
SAN FRANCISCO INTERNATIONAL AP, San Mateo, CA04, -122.366, 37.620, 10, 65.5, 0.23
SAN LUIS OBISPO MCCHESNEY FIELD, San Luis Obispo, CA04, -120.644, 35.238, 183, 67.6, 0.01
CEDARVILLE, Modoc, CA03, -120.179, 41.530, 4688, 62.3, 0.78
CHICO UNIVERSITY FARM, Butte, CA02, -121.821, 39.691, 185, 69.9, 1.15
CHULA VISTA, San Diego, CA06, -117.086, 32.640, 56, 71.2, 0.00
COLFAX, Placer, CA02, -120.947, 39.090, 2373, 70.7, 0.88
CUYAMACA, San Diego, CA06, -116.587, 32.990, 4640, 63.3, 1.38
DAVIS 2 WSW EXP FARM, Yolo, CA02, -121.776, 38.535, 60, 72.0, 0.67
DEATH VALLEY NATIONAL PARK, Inyo, CA07, -116.867, 36.463, -194, 94.0, 0.23
FAIRMONT, Los Angeles, CA07, -118.430, 34.705, 3060, 75.4, 0.00
FORT BRAGG 5 N, Mendocino, CA01, -123.756, 39.510, 123, 58.9, 0.95
HANFORD 1 S, Kings, CA05, -119.637, 36.316, 237, 75.2, 0.01
HAPPY CAMP RANGER STATION, Siskiyou, CA01, -123.375, 41.796, 1142, 65.1, 3.49
INDIO FIRE STATION, Riverside, CA07, -116.215, 33.709, -21, 88.4, 0.23
LEMON COVE, Tulare, CA05, -119.026, 36.382, 513, 74.6, 0.00
LIVERMORE, Alameda, CA04, -121.751, 37.682, 529, 69.6, 0.33
LODI, San Joaquin, CA05, -121.288, 38.106, 40, 71.1, 0.02
MERCED MUNICIPAL AP, Merced, CA05, -120.518, 37.286, 152, 73.1, T
NAPA STATE HOSPITAL, Napa, CA01, -122.265, 38.278, 35, 69.0, 0.67
OJAI, Ventura, CA06, -119.227, 34.448, 745, 72.3, 0.00
ORLAND, Glenn, CA02, -122.200, 39.746, 254, 71.8, 1.60
ORLEANS, Humboldt, CA01, -123.532, 41.309, 403, 67.6, 4.99
PASADENA, Los Angeles, CA06, -118.145, 34.148, 864, 78.1, 0.03
PASO ROBLES, San Luis Obispo, CA04, -120.685, 35.628, 730, 70.5, 0.00
PETALUMA AIRPORT, Sonoma, CA01, -122.608, 38.258, 20, 65.9, 0.61
QUINCY, Plumas, CA02, -120.947, 39.937, 3420, 59.7, 1.99
REDLANDS, San Bernardino, CA06, -117.195, 34.037, 1410, 76.3, 0.00
SANTA BARBARA, Santa Barbara, CA06, -119.684, 34.417, 16, 67.8, 0.00
SANTA CRUZ, Santa Cruz, CA04, -122.000, 36.988, 70, 67.2, 0.19
TAHOE CITY, Placer, CA03, -120.143, 39.168, 6230, 56.0, 0.62
WASCO, Kern, CA05, -119.352, 35.589, 291, 76.3, 0.00
WEAVERVILLE, Trinity, CA01, -122.940, 40.737, 2058, 64.6, 1.43
WILLOWS 6 W, Glenn, CA02, -122.305, 39.523, 234, 72.1, 0.68
YOSEMITE PARK HEADQUARTERS, Mariposa, CA05, -119.590, 37.750, 4018, 66.4, 0.92
YREKA, Siskiyou, CA01, -122.641, 41.703, 2709, 63.5, 1.16
BERKELEY, Alameda, CA04, -122.260, 37.874, 310, 66.1, 0.63
BLYTHE, Riverside, CA07, -114.597, 33.613, 268, 85.0, 0.65
EUREKA WFO WOODLEY ISLAND, Humboldt, CA01, -124.160, 40.810, 20, 60.2, 3.14
INDEPENDENCE, Inyo, CA07, -118.204, 36.798, 3950, 75.4, 0.13
SAN LUIS OBISPO POLY, San Luis Obispo, CA04, -120.662, 35.306, 308, 68.1, 0.02
BURNEY, Shasta, CA02, -121.655, 40.880, 3198, 59.7, 0.73
IMPERIAL BEACH REAM FIELD NAS, San Diego, CA06, -117.117, 32.568, 24, 67.6, 0.07
CAMPO, San Diego, CA06, -116.470, 32.626, 2630, 70.2, 2.34
EL CENTRO 2 SSW, Imperial, CA07, -115.562, 32.767, -30, 86.8, 0.72
IMPERIAL COUNTY AP, Imperial, CA07, -115.577, 32.835, -55, 85.9, 0.53
EL CENTRO NAF, Imperial, CA07, -115.664, 32.832, -46, 85.9, 0.06
ALPINE, San Diego, CA06, -116.777, 32.836, 1695, 74.1, 0.00
DEEP CANYON LAB, Riverside, CA07, -116.376, 33.651, 1200, M, 0.22
ELSINORE, Riverside, CA06, -117.346, 33.686, 1268, 78.8, 0.00
SANTA ANA JOHN WAYNE AP, Orange, CA06, -117.867, 33.680, 43, 75.8, 0.00
HAYFIELD PUMPING PLANT, Riverside, CA07, -115.629, 33.704, 1370, 81.6, 1.33
IDYLLWILD FIRE DEPT, Riverside, CA06, -116.707, 33.757, 5380, 66.4, 2.86
SAN JACINTO, Riverside, CA06, -116.975, 33.797, 1525, 77.7, 0.05
HEMET, Riverside, CA06, -116.894, 33.738, 1811, 77.9, 0.44
SANTA ANA FIRE STATION, Orange, CA06, -117.867, 33.744, 135, 74.6, 0.00
EAGLE MOUNTAIN, Riverside, CA07, -115.451, 33.809, 973, 84.4, 0.56
PALM SPRINGS, Riverside, CA07, -116.510, 33.828, 425, 87.4, 0.00
LONG BEACH DAUGHERTY AP, Los Angeles, CA06, -118.147, 33.812, 34, 74.2, 0.00
PALOS VERDES ES FC43D, Los Angeles, CA06, -118.391, 33.800, 220, M, 0.00
FULLERTON MUNICIPAL AP, Orange, CA06, -117.986, 33.872, 86, 76.8, 0.00
BEAUMONT #2, Riverside, CA07, -116.990, 33.926, 2591, M, 0.33
MARCH AFB, Riverside, CA06, -117.250, 33.900, 1536, 74.8, T
YORBA LINDA, Orange, CA06, -117.819, 33.890, 350, M, 0.00
HAWTHORNE MUNICIPAL AP, Los Angeles, CA06, -118.333, 33.924, 55, 71.9, 0.00
LOS ANGELES INTL AP, Los Angeles, CA06, -118.387, 33.938, 97, 70.2, 0.00
RIVERSIDE FIRE STATION 3, Riverside, CA06, -117.388, 33.951, 840, 78.0, 0.00
RIVERSIDE MUNICIPAL AP, Riverside, CA06, -117.435, 33.953, 845, 77.9, 0.00
CHINO AP, San Bernardino, CA06, -117.625, 33.976, 636, 76.0, T
WHITTIER CITY YARD FC106C, Los Angeles, CA06, -118.022, 33.976, 446, M, 0.00
CULVER CITY, Los Angeles, CA06, -118.414, 34.005, 92, 69.5, 0.00
SANTA MONICA MUNICIPAL AP, Los Angeles, CA06, -118.447, 34.021, 175, 69.7, 0.00
SANTA MONICA PIER, Los Angeles, CA06, -118.500, 34.008, 14, 66.4, M
ONTARIO INTL AP, San Bernardino, CA06, -117.577, 34.053, 924, 78.0, T
POMONA/FAIRPLEX, Los Angeles, CA06, -117.766, 34.082, 999, 75.9, 0.03
COVINA CITY YARD FC387B, Los Angeles, CA06, -117.880, 34.092, 607, M, 0.00
U C L A, Los Angeles, CA06, -118.443, 34.070, 430, 71.2, 0.00
