Name, County, ClimateDivision, Longitude, Latitude, Elevation, MeanAvgTemperature, TotalPrecipitation
DEEP CANYON LAB, Riverside, CA07, -116.376, 33.651, 1200, M, 1.09
ELSINORE, Riverside, CA06, -117.346, 33.686, 1268, 66.5, 7.66
SANTA ANA JOHN WAYNE AP, Orange, CA06, -117.867, 33.680, 43, 65.0, 6.18
HAYFIELD PUMPING PLANT, Riverside, CA07, -115.629, 33.704, 1370, 68.3, 1.68
SUN CITY, Riverside, CA06, -117.190, 33.716, 1420, M, 4.82
IDYLLWILD FIRE DEPT, Riverside, CA06, -116.707, 33.757, 5380, 52.1, 8.78
SAN JACINTO, Riverside, CA06, -116.975, 33.797, 1525, 64.1, 5.35
HEMET, Riverside, CA06, -116.894, 33.738, 1811, 63.8, 5.56
SANTA ANA FIRE STATION, Orange, CA06, -117.867, 33.744, 135, 66.2, 4.85
EAGLE MOUNTAIN, Riverside, CA07, -115.451, 33.809, 973, 72.3, 0.55
PALM SPRINGS, Riverside, CA07, -116.510, 33.828, 425, 74.3, 2.15
LONG BEACH DAUGHERTY AP, Los Angeles, CA06, -118.147, 33.812, 34, 64.8, 5.34
PALOS VERDES ES FC43D, Los Angeles, CA06, -118.391, 33.800, 220, M, 4.36
SNOW CREEK UPPER, Riverside, CA07, -116.680, 33.873, 1940, M, 4.98
FULLERTON MUNICIPAL AP, Orange, CA06, -117.986, 33.872, 86, 66.1, 4.58
BEAUMONT #2, Riverside, CA07, -116.990, 33.926, 2591, 61.2, 0.00
YORBA LINDA, Orange, CA06, -117.819, 33.890, 350, 65.4, 4.88
DOWNEY FIRE DEPT. FC107C, Los Angeles, CA06, -118.145, 33.930, 110, M, 3.23
HAWTHORNE MUNICIPAL AP, Los Angeles, CA06, -118.333, 33.924, 55, 64.1, 4.07
LOS ANGELES INTL AP, Los Angeles, CA06, -118.387, 33.938, 97, 63.6, 3.78
RIVERSIDE FIRE STATION 3, Riverside, CA06, -117.388, 33.951, 840, 65.7, 5.28
RIVERSIDE MUNICIPAL AP, Riverside, CA06, -117.435, 33.953, 845, 65.1, 2.55
CHINO AP, San Bernardino, CA06, -117.625, 33.976, 636, 64.5, 7.51
WHITTIER CITY YARD FC106C, Los Angeles, CA06, -118.022, 33.976, 446, M, 5.86
RIVERSIDE CITRUS EXP, Riverside, CA06, -117.361, 33.967, 986, 66.2, 4.40
MONTEBELLO, Los Angeles, CA06, -118.105, 34.019, 246, 67.7, M
IMPERIAL, Imperial, CA07, -115.567, 32.849, -64, 73.5, 1.05
EL CAPITAN DAM, San Diego, CA06, -116.815, 32.886, 600, 66.0, 7.67
LAKESIDE 2 E, San Diego, CA06, -116.895, 32.854, 690, M, 7.55
POWAY VALLEY, San Diego, CA06, -117.031, 33.020, 648, 62.5, 2.48
JULIAN CDF, San Diego, CA06, -116.592, 33.076, 4215, 53.2, 11.15
