Name, County, ClimateDivision, Longitude, Latitude, Elevation, MeanAvgTemperature, TotalPrecipitation
IMPERIAL, Imperial, CA07, -115.567, 32.849, -64, 66.7, 0.00
EL CAPITAN DAM, San Diego, CA06, -116.815, 32.886, 600, 64.1, 0.01
LAKESIDE 2 E, San Diego, CA06, -116.895, 32.854, 690, M, 0.45
POWAY VALLEY, San Diego, CA06, -117.031, 33.020, 648, 64.0, 0.00
JULIAN CDF, San Diego, CA06, -116.592, 33.076, 4215, 55.7, T
RAMONA FIRE DEPT, San Diego, CA06, -116.908, 33.011, 1470, 60.1, 0.15
SAN PASQUAL ANIMAL PK, San Diego, CA06, -116.997, 33.096, 420, 62.5, 0.20
CARLSBAD MCCLELLAN PALOMAR AP, San Diego, CA06, -117.277, 33.130, 313, 61.6, 0.28
HENSHAW DAM, San Diego, CA06, -116.761, 33.237, 2700, 54.2, 0.21
VISTA, San Diego, CA06, -117.232, 33.235, 430, 63.8, 0.03
OCEANSIDE MARINA, San Diego, CA06, -117.395, 33.210, 10, 59.4, 0.00
BORREGO DESERT PARK, San Diego, CA07, -116.404, 33.256, 810, 67.5, 0.00
OAK GROVE RS, San Diego, CA06, -116.792, 33.386, 2750, M, 0.00
PALOMAR MTN OBSERVATORY, San Diego, CA06, -116.840, 33.378, 5550, 54.4, 0.22
TEMECULA, Riverside, CA06, -117.151, 33.497, 1020, 60.5, 0.01
MECCA FIRE STATION, Riverside, CA07, -116.073, 33.570, -183, 73.0, 0.00
LAGUNA BEACH, Orange, CA06, -117.781, 33.545, 44, 61.5, 0.17
BLYTHE ASOS, Riverside, CA07, -114.715, 33.619, 395, 64.4, 0.00
DESERT RESORTS REGIONAL AP, Riverside, CA07, -116.164, 33.632, -118, 64.0, 0.00
DEEP CANYON LAB, Riverside, CA07, -116.376, 33.651, 1200, M, 0.00
ELSINORE, Riverside, CA06, -117.346, 33.686, 1268, 61.4, 0.00
SANTA ANA JOHN WAYNE AP, Orange, CA06, -117.867, 33.680, 43, 64.4, 0.17
HAYFIELD PUMPING PLANT, Riverside, CA07, -115.629, 33.704, 1370, 61.9, 0.00
IDYLLWILD FIRE DEPT, Riverside, CA06, -116.707, 33.757, 5380, 49.4, 0.37
SAN JACINTO, Riverside, CA06, -116.975, 33.797, 1525, 61.3, 0.07
HEMET, Riverside, CA06, -116.894, 33.738, 1811, 61.4, 0.07
SANTA ANA FIRE STATION, Orange, CA06, -117.867, 33.744, 135, 65.0, 0.11
EAGLE MOUNTAIN, Riverside, CA07, -115.451, 33.809, 973, 65.5, 0.00
PALM SPRINGS, Riverside, CA07, -116.510, 33.828, 425, 68.4, 0.00
LONG BEACH DAUGHERTY AP, Los Angeles, CA06, -118.147, 33.812, 34, 63.5, 0.11
PALOS VERDES ES FC43D, Los Angeles, CA06, -118.391, 33.800, 220, M, 0.20
SNOW CREEK UPPER, Riverside, CA07, -116.680, 33.873, 1940, M, 0.00
FULLERTON MUNICIPAL AP, Orange, CA06, -117.986, 33.872, 86, 64.1, 0.15
BEAUMONT #2, Riverside, CA07, -116.990, 33.926, 2591, 61.0, 0.00
YORBA LINDA, Orange, CA06, -117.819, 33.890, 350, 63.9, 0.00
DOWNEY FIRE DEPT. FC107C, Los Angeles, CA06, -118.145, 33.930, 110, M, 0.00
HAWTHORNE MUNICIPAL AP, Los Angeles, CA06, -118.333, 33.924, 55, 65.0, 0.28
LOS ANGELES INTL AP, Los Angeles, CA06, -118.387, 33.938, 97, 63.6, 0.25
RIVERSIDE FIRE STATION 3, Riverside, CA06, -117.388, 33.951, 840, 64.1, 0.00
RIVERSIDE MUNICIPAL AP, Riverside, CA06, -117.435, 33.953, 845, 61.0, 0.05
CHINO AP, San Bernardino, CA06, -117.625, 33.976, 636, 60.8, 0.10
WHITTIER CITY YARD FC106C, Los Angeles, CA06, -118.022, 33.976, 446, M, 0.04
RIVERSIDE CITRUS EXP, Riverside, CA06, -117.361, 33.967, 986, 64.6, 0.05
CULVER CITY, Los Angeles, CA06, -118.414, 34.005, 92, 61.4, 0.25
SANTA MONICA MUNICIPAL AP, Los Angeles, CA06, -118.447, 34.021, 175, 62.3, 0.17
SANTA MONICA PIER, Los Angeles, CA06, -118.500, 34.008, 14, 63.0, 0.13
ONTARIO INTL AP, San Bernardino, CA06, -117.577, 34.053, 924, 63.3, 0.15
POMONA/FAIRPLEX, Los Angeles, CA06, -117.766, 34.082, 999, 54.0, 0.00
COVINA CITY YARD FC387B, Los Angeles, CA06, -117.880, 34.092, 607, M, 0.22
U C L A, Los Angeles, CA06, -118.443, 34.070, 430, 65.9, 0.14
TOPANGA PATROL FC-6, Los Angeles, CA06, -118.599, 34.084, 745, M, 0.19
IRON MOUNTAIN, San Bernardino, CA07, -115.122, 34.147, 922, 65.8, 0.00
TWENTYNINE PALMS, San Bernardino, CA07, -116.037, 34.128, 1975, 61.2, 0.00
SAN DIMAS FIRE FC 95, Los Angeles, CA06, -117.802, 34.105, 958, M, 0.00
GLENDORA FC 287B, Los Angeles, CA06, -117.847, 34.147, 933, M, 0.08
SAN GABRIEL FIRE DEPT, Los Angeles, CA06, -118.100, 34.084, 363, 64.2, 0.12
POINT MUGU NF, Ventura, CA06, -119.123, 34.124, 12, 59.0, T
SAN GABRIEL CANYON PH, Los Angeles, CA06, -117.908, 34.155, 744, M, 0.15
WOODLAND HILLS PIERCE COLLEGE, Los Angeles, CA06, -118.574, 34.182, 790, 63.5, 0.11
LYTLE CREEK R S, San Bernardino, CA06, -117.471, 34.238, 2730, M, 0.00
MT WILSON CBS, Los Angeles, CA06, -118.071, 34.231, 5710, 56.1, 0.11
LA CRESCENTA FC251 C, Los Angeles, CA06, -118.238, 34.222, 1545, M, 0.10
VAN NUYS AP, Los Angeles, CA06, -118.491, 34.212, 785, 63.9, 0.15
CAMARILLO AP, Ventura, CA06, -119.088, 34.211, 71, 60.4, 0.07
OXNARD VENTURA COUNTY AP, Ventura, CA06, -119.204, 34.200, 39, 60.7, 0.15
PARKER RESRVOIR, San Bernardino, CA07, -114.171, 34.290, 738, 65.4, 0.00
TWENTYNINE PALMS MC, San Bernardino, CA07, -116.147, 34.294, 2003, 59.7, 0.00
BIG BEAR LAKE, San Bernardino, CA06, -116.917, 34.243, 6753, 43.9, 0.08
LAKE ARROWHEAD, San Bernardino, CA07, -117.188, 34.247, 5205, 46.5, 0.40
CHATSWORTH FC 24 F, Los Angeles, CA06, -118.600, 34.250, 950, M, 2.13
CRYSTAL LAKE FC238C, Los Angeles, CA06, -117.842, 34.318, 5345, M, 0.78
BIG TUJUNGA DAM FC46, Los Angeles, CA06, -118.188, 34.295, 2326, M, 0.08
PACOIMA DAM FC33A-E, Los Angeles, CA06, -118.400, 34.329, 1550, M, 0.09
SANTA PAULA, Ventura, CA06, -119.133, 34.312, 237, 62.1, 0.00
SANTA BARBARA MUNI AP, Santa Barbara, CA06, -119.842, 34.424, 8, 58.2, 0.27
VICTORVILLE, San Bernardino, CA07, -117.293, 34.529, 2880, 56.6, 0.00
ACTON ESCONDIDO FC261, Los Angeles, CA06, -118.271, 34.494, 2833, M, 0.04
