Name, County, ClimateDivision, Longitude, Latitude, Elevation, MeanAvgTemperature, TotalPrecipitation
EL CAPITAN DAM, San Diego, CA06, -116.815, 32.886, 600, M, 0.32
LAKESIDE 2 E, San Diego, CA06, -116.895, 32.854, 690, M, 0.42
POWAY VALLEY, San Diego, CA06, -117.031, 33.020, 648, M, 0.32
JULIAN CDF, San Diego, CA06, -116.592, 33.076, 4215, 48.0, 0.47
CARLSBAD MCCLELLAN PALOMAR AP, San Diego, CA06, -117.277, 33.130, 313, 56.3, 0.63
HENSHAW DAM, San Diego, CA06, -116.761, 33.237, 2700, 46.7, 0.77
VISTA, San Diego, CA06, -117.232, 33.235, 430, 55.6, 0.64
OCEANSIDE MARINA, San Diego, CA06, -117.395, 33.210, 10, 55.0, 0.84
BORREGO DESERT PARK, San Diego, CA07, -116.404, 33.256, 810, 58.2, 0.03
PALOMAR MTN OBSERVATORY, San Diego, CA06, -116.840, 33.378, 5550, 47.1, 0.49
MECCA FIRE STATION, Riverside, CA07, -116.073, 33.570, -183, M, 0.00
BLYTHE ASOS, Riverside, CA07, -114.715, 33.619, 395, 55.5, T
DESERT RESORTS REGIONAL AP, Riverside, CA07, -116.164, 33.632, -118, 55.8, T
DEEP CANYON LAB, Riverside, CA07, -116.376, 33.651, 1200, M, 0.03
ELSINORE, Riverside, CA06, -117.346, 33.686, 1268, 54.1, 0.30
SANTA ANA JOHN WAYNE AP, Orange, CA06, -117.867, 33.680, 43, 59.8, 0.15
HAYFIELD PUMPING PLANT, Riverside, CA07, -115.629, 33.704, 1370, 53.9, 0.00
IDYLLWILD FIRE DEPT, Riverside, CA06, -116.707, 33.757, 5380, 43.3, 0.58
SAN JACINTO, Riverside, CA06, -116.975, 33.797, 1525, 54.0, 0.19
HEMET, Riverside, CA06, -116.894, 33.738, 1811, 56.1, 0.28
SANTA ANA FIRE STATION, Orange, CA06, -117.867, 33.744, 135, 59.1, 0.15
EAGLE MOUNTAIN, Riverside, CA07, -115.451, 33.809, 973, 55.6, 0.07
PALM SPRINGS, Riverside, CA07, -116.510, 33.828, 425, M, 0.04
LONG BEACH DAUGHERTY AP, Los Angeles, CA06, -118.147, 33.812, 34, 56.3, 0.31
PALOS VERDES ES FC43D, Los Angeles, CA06, -118.391, 33.800, 220, M, 0.27
FULLERTON MUNICIPAL AP, Orange, CA06, -117.986, 33.872, 86, 58.0, 0.20
MARCH AFB, Riverside, CA06, -117.250, 33.900, 1536, 50.4, 0.10
HAWTHORNE MUNICIPAL AP, Los Angeles, CA06, -118.333, 33.924, 55, 59.1, 0.28
LOS ANGELES INTL AP, Los Angeles, CA06, -118.387, 33.938, 97, 59.5, 0.38
RIVERSIDE FIRE STATION 3, Riverside, CA06, -117.388, 33.951, 840, M, 0.12
RIVERSIDE MUNICIPAL AP, Riverside, CA06, -117.435, 33.953, 845, 55.9, 0.08
CHINO AP, San Bernardino, CA06, -117.625, 33.976, 636, 54.0, 0.16
CULVER CITY, Los Angeles, CA06, -118.414, 34.005, 92, 57.6, 0.50
SANTA MONICA MUNICIPAL AP, Los Angeles, CA06, -118.447, 34.021, 175, 57.0, 0.49
ONTARIO INTL AP, San Bernardino, CA06, -117.577, 34.053, 924, 56.1, 0.08
COVINA CITY YARD FC387B, Los Angeles, CA06, -117.880, 34.092, 607, M, 0.02
U C L A, Los Angeles, CA06, -118.443, 34.070, 430, 60.7, 0.46
IRON MOUNTAIN, San Bernardino, CA07, -115.122, 34.147, 922, 53.9, 0.00
TWENTYNINE PALMS, San Bernardino, CA07, -116.037, 34.128, 1975, 53.2, 0.04
JOSHUA TREE, San Bernardino, CA07, -116.275, 34.147, 2563, 49.6, 0.00
SAN GABRIEL FIRE DEPT, Los Angeles, CA06, -118.100, 34.084, 363, M, 0.25
POINT MUGU NF, Ventura, CA06, -119.123, 34.124, 12, 56.9, 0.00
ALTADENA, Los Angeles, CA06, -118.138, 34.182, 1127, M, 0.23
SAN GABRIEL CANYON PH, Los Angeles, CA06, -117.908, 34.155, 744, M, 0.18
WOODLAND HILLS PIERCE COLLEGE, Los Angeles, CA06, -118.574, 34.182, 790, 57.2, 0.11
SAN GABRIEL DAM FC425B-E, Los Angeles, CA06, -117.861, 34.205, 1481, M, 0.35
VAN NUYS AP, Los Angeles, CA06, -118.491, 34.212, 785, 57.5, 0.09
CAMARILLO AP, Ventura, CA06, -119.088, 34.211, 71, 55.8, 0.45
OXNARD VENTURA COUNTY AP, Ventura, CA06, -119.204, 34.200, 39, 54.6, 0.25
PARKER RESRVOIR, San Bernardino, CA07, -114.171, 34.290, 738, 55.1, 0.07
BIG BEAR LAKE, San Bernardino, CA06, -116.917, 34.243, 6753, 38.5, 0.10
BIG TUJUNGA DAM FC46, Los Angeles, CA06, -118.188, 34.295, 2326, M, 0.18
PACOIMA DAM FC33A-E, Los Angeles, CA06, -118.400, 34.329, 1550, M, 0.41
PIRU 2 ESE, Ventura, CA06, -118.757, 34.406, 712, M, 0.39
SANTA BARBARA MUNI AP, Santa Barbara, CA06, -119.842, 34.424, 8, 53.3, 0.55
JUNCAL DAM, Santa Barbara, CA06, -119.507, 34.491, 2260, M, 0.52
VICTORVILLE, San Bernardino, CA07, -117.293, 34.529, 2880, 48.0, 0.00
GIBRALTAR DAM NO. 2, Santa Barbara, CA06, -119.682, 34.523, 1558, 48.6, 0.47
AMBOY, San Bernardino, CA07, -115.744, 34.559, 648, 53.7, 0.00
PALMDALE, Los Angeles, CA07, -118.094, 34.588, 2612, 47.3, 0.02
SAUGUS POWER PLANT 1, Los Angeles, CA06, -118.454, 34.590, 2161, M, 0.55
CACHUMA LAKE, Santa Barbara, CA06, -119.982, 34.582, 789, 52.4, 0.48
SALSIPUEDES GAGING STATION, Santa Barbara, CA06, -120.408, 34.585, 254, M, 0.86
PALMDALE AP, Los Angeles, CA07, -118.083, 34.629, 2509, 47.2, 0.04
LOMPOC, Santa Barbara, CA06, -120.451, 34.654, 75, 53.6, 0.59
LOMPOC AP, Santa Barbara, CA06, -120.467, 34.667, 88, 52.4, 0.51
LANCASTER, Los Angeles, CA06, -118.213, 34.741, 2338, 46.4, 0.08
SANDBERG, Los Angeles, CA06, -118.724, 34.744, 4510, 45.6, 0.10
LEBEC, Kern, CA05, -118.865, 34.833, 3575, 43.0, 0.20
NEW CUYAMA FIRE STATION, Santa Barbara, CA06, -119.683, 34.946, 2160, 46.2, 0.23
TWITCHELL DAM, Santa Barbara, CA06, -120.321, 34.988, 582, 55.8, 0.74
MOJAVE, Kern, CA07, -118.162, 35.049, 2735, 48.6, 0.00
SALINAS DAM, San Luis Obispo, CA04, -120.504, 35.337, 1392, M, 0.69
RANDSBURG, Kern, CA07, -117.652, 35.369, 3570, 44.0, 0.00
SANTA MARGARITA BOOST, San Luis Obispo, CA04, -120.637, 35.374, 1148, M, 0.74
MORRO BAY FIRE DEPT, San Luis Obispo, CA04, -120.845, 35.367, 118, M, 0.60
BAKERSFIELD AP, Kern, CA05, -119.055, 35.434, 490, 48.5, 0.24
BUTTONWILLOW, Kern, CA05, -119.470, 35.403, 225, 47.2, 0.32
LOST HILLS, Kern, CA05, -119.689, 35.618, 288, M, 0.20
GLENNVILLE, Kern, CA05, -118.701, 35.727, 3140, 41.5, 0.68
TRONA, San Bernardino, CA07, -117.391, 35.764, 1695, 47.2, 0.00
DELANO, Kern, CA05, -119.260, 35.768, 302, 47.7, 0.29
KETTLEMAN CITY, Kings, CA05, -119.960, 36.007, 240, 47.0, 0.42
CORCORAN IRRIGATION DIST., Kings, CA05, -119.582, 36.098, 200, 46.5, 0.57
COALINGA, Fresno, CA05, -120.361, 36.136, 670, 48.1, 0.28
KING CITY, Monterey, CA04, -121.138, 36.207, 320, 49.5, 0.61
LINDSAY, Tulare, CA05, -119.054, 36.203, 435, 47.0, 0.68
